PantryName,Address,City,State,ZIP,Open,lat,lon
Produce Express at Zem Zem Shrine Club,2525 W 38TH STREET,Erie,PA,16506,,42.081486126084,-80.122287178184
Second Harvest Food Bank,1507 GRIMM DRIVE,Erie,PA,16501,,42.109986923832,-80.112965835997
Glenwood United Methodist Church,2931 MYRTLE ST,Erie,PA,16508,6:00:00 PM - 7:00 PM,42.106777159403,-80.077699354734
HOLY TRINITY LUTHERAN SOUP & PASTA KITCHEN-SK,643 WEST 17TH STREET,Erie,PA,16502,9:00:00 AM - 12:00:00 PM,42.113989042428,-80.092745697515
SALVATION ARMY SOCIAL SERVICES,1022 LIBERTY STREET,Erie,PA,16502,,42.118938763563,-80.099483049725
SISTERS ST JOSEPH NEIGHBORHOOD NETWORK-SK,1617 Walnut Street,Erie,PA,16502,4:15 PM,42.115956360048,-80.089719062623
ST MARTIN CENTER-FP,1701 PARADE STREET,Erie,PA,16503,"9:00:00 AM - 12:00:00 PM , 01:00:00 PM - 03:00:00 PM",42.122440672988,-80.069815082669
EMMAUS-FP,216 EAST 11 TH ST,Erie,PA,16503,4:00pm  - 5:30pm,42.126088578527,-80.077809745949
EMMAUS-SK,216 EAST 11 TH ST,Erie,PA,16503,9:00AM - 11:00AM,42.126088578527,-80.077809745949
CITY MISSION SHELTER-SK,1023 FRENCH STREET,Erie,PA,16501,"7am - 8am , 11:30am - 12:30 pm",42.125767549439,-80.081034398581
MARTIN LUTHER KING CENTER-FP,312 CHESTNUT STREET,Erie,PA,16507,,42.129045738553,-80.095641979647
COMMUNITY OF CARING-SHELTER,245 EAST 8TH STREET,Erie,PA,16512,,42.129204644715,-80.079051102727
UPMC Neighborhood Center Marketplace,803 East Ave.,Erie,PA,16503,9:00 - 5:00,42.135595838132,-80.061570587472
