tract_name,median_household_income,state_fips,county_fips,tract_code
Census Tract 1; Erie County; Pennsylvania,14846,42,049,000100
Census Tract 2; Erie County; Pennsylvania,73333,42,049,000200
Census Tract 3; Erie County; Pennsylvania,36235,42,049,000300
Census Tract 4; Erie County; Pennsylvania,38750,42,049,000400
Census Tract 5; Erie County; Pennsylvania,33547,42,049,000500
Census Tract 6; Erie County; Pennsylvania,46679,42,049,000600
Census Tract 7; Erie County; Pennsylvania,35161,42,049,000700
Census Tract 8; Erie County; Pennsylvania,27917,42,049,000800
Census Tract 9.01; Erie County; Pennsylvania,27243,42,049,000901
Census Tract 9.02; Erie County; Pennsylvania,20721,42,049,000902
Census Tract 10; Erie County; Pennsylvania,43750,42,049,001000
Census Tract 11; Erie County; Pennsylvania,47000,42,049,001100
Census Tract 12; Erie County; Pennsylvania,24747,42,049,001200
Census Tract 13; Erie County; Pennsylvania,24911,42,049,001300
Census Tract 14; Erie County; Pennsylvania,16435,42,049,001400
Census Tract 15; Erie County; Pennsylvania,26650,42,049,001500
Census Tract 16; Erie County; Pennsylvania,39397,42,049,001600
Census Tract 17; Erie County; Pennsylvania,44657,42,049,001700
Census Tract 18; Erie County; Pennsylvania,28426,42,049,001800
Census Tract 19; Erie County; Pennsylvania,22050,42,049,001900
Census Tract 20; Erie County; Pennsylvania,50839,42,049,002000
Census Tract 21; Erie County; Pennsylvania,62972,42,049,002100
Census Tract 22; Erie County; Pennsylvania,73523,42,049,002200
Census Tract 23; Erie County; Pennsylvania,35692,42,049,002300
Census Tract 24; Erie County; Pennsylvania,50625,42,049,002400
Census Tract 25; Erie County; Pennsylvania,46033,42,049,002500
Census Tract 26; Erie County; Pennsylvania,53639,42,049,002600
Census Tract 27; Erie County; Pennsylvania,57292,42,049,002700
Census Tract 28; Erie County; Pennsylvania,61438,42,049,002800
Census Tract 29; Erie County; Pennsylvania,95395,42,049,002900
Census Tract 30; Erie County; Pennsylvania,54120,42,049,003000
Census Tract 101.01; Erie County; Pennsylvania,81296,42,049,010101
Census Tract 101.03; Erie County; Pennsylvania,73750,42,049,010103
Census Tract 101.04; Erie County; Pennsylvania,81250,42,049,010104
Census Tract 101.07; Erie County; Pennsylvania,54083,42,049,010107
Census Tract 101.08; Erie County; Pennsylvania,,42,049,010108
Census Tract 102.01; Erie County; Pennsylvania,74886,42,049,010201
Census Tract 102.02; Erie County; Pennsylvania,77627,42,049,010202
Census Tract 103.01; Erie County; Pennsylvania,86544,42,049,010301
Census Tract 103.03; Erie County; Pennsylvania,95440,42,049,010303
Census Tract 103.04; Erie County; Pennsylvania,114250,42,049,010304
Census Tract 104; Erie County; Pennsylvania,85223,42,049,010400
Census Tract 105; Erie County; Pennsylvania,64762,42,049,010500
Census Tract 107; Erie County; Pennsylvania,76602,42,049,010700
Census Tract 108; Erie County; Pennsylvania,73925,42,049,010800
Census Tract 109.02; Erie County; Pennsylvania,70142,42,049,010902
Census Tract 109.03; Erie County; Pennsylvania,91955,42,049,010903
Census Tract 109.04; Erie County; Pennsylvania,155474,42,049,010904
Census Tract 110.01; Erie County; Pennsylvania,61838,42,049,011001
Census Tract 110.02; Erie County; Pennsylvania,47772,42,049,011002
Census Tract 111.01; Erie County; Pennsylvania,75396,42,049,011101
Census Tract 111.02; Erie County; Pennsylvania,82456,42,049,011102
Census Tract 112.01; Erie County; Pennsylvania,78042,42,049,011201
Census Tract 112.02; Erie County; Pennsylvania,70542,42,049,011202
Census Tract 113; Erie County; Pennsylvania,46506,42,049,011300
Census Tract 114; Erie County; Pennsylvania,71281,42,049,011400
Census Tract 115.03; Erie County; Pennsylvania,81571,42,049,011503
Census Tract 115.08; Erie County; Pennsylvania,91719,42,049,011508
Census Tract 115.09; Erie County; Pennsylvania,65960,42,049,011509
Census Tract 115.10; Erie County; Pennsylvania,81250,42,049,011510
Census Tract 115.11; Erie County; Pennsylvania,,42,049,011511
Census Tract 116; Erie County; Pennsylvania,67469,42,049,011600
Census Tract 117.01; Erie County; Pennsylvania,74223,42,049,011701
Census Tract 117.02; Erie County; Pennsylvania,84539,42,049,011702
Census Tract 118.01; Erie County; Pennsylvania,68750,42,049,011801
Census Tract 118.02; Erie County; Pennsylvania,70966,42,049,011802
Census Tract 119; Erie County; Pennsylvania,45081,42,049,011900
Census Tract 120.01; Erie County; Pennsylvania,77885,42,049,012001
Census Tract 120.02; Erie County; Pennsylvania,42754,42,049,012002
Census Tract 121; Erie County; Pennsylvania,71865,42,049,012100
Census Tract 122.01; Erie County; Pennsylvania,81250,42,049,012201
Census Tract 122.02; Erie County; Pennsylvania,40862,42,049,012202
Census Tract 124; Erie County; Pennsylvania,60278,42,049,012400
